dataset;obs;diagnosis0;diagnosis1;overlapping.F2_partial.0;overlapping.F2_partial.1;overlapping.F3_partial.0;overlapping.F3_partial.1;overlapping.F4_partial.0;overlapping.F4_partial.1;neighborhood.N1_partial.1;neighborhood.N1_partial.0;neighborhood.N2_partial.0;neighborhood.N2_partial.1;neighborhood.N3_partial.0;neighborhood.N3_partial.1;neighborhood.N4_partial.0;neighborhood.N4_partial.1;neighborhood.T1_partial.0;neighborhood.T1_partial.1;linearity.class.L1_partial.0;linearity.class.L1_partial.1;linearity.class.L2_partial.0;linearity.class.L2_partial.1;linearity.class.L3_partial.0;linearity.class.L3_partial.1
intersectionalBias.xlsx;11000;5376;5624;0.21315508;0.23949506;0.87369792;0.99110953;0.87369792;0.99110953;0.18083215;0.18917411;0.4481797;0.44172483;0.12593006;0.11468706;0.02663636;0.01872727;0.83203125;0.74839972;0.0532435;0.05569523;0.07366071;0.06970128;0.03545455;0.03645455
female.xlsx;6063;3492;2571;0.17351199;0.27878072;0.94329897;0.91015169;0.94329897;0.91015169;0.2672112;0.19959908;0.44758244;0.46011833;0.1268614;0.18164138;0.01962725;0.03084282;0.82245132;0.91715286;0.04474682;0.0740534;0.06242841;0.0890704;0.03018308;0.05096487
male.xlsx;4937;1884;3053;0.258991805;0.067600333;0.742038217;0.736652473;0.742038217;0.736652473;0.088437602;0.134819533;0.434097625;0.420813437;0.083333333;0.052407468;0.009317399;0.009722504;0.748407643;0.554208975;0.033931946;0.01623453;0.041401274;0.022600721;0.016811829;0.00749443
white.xlsx;4026;2204;1822;0.237497435;0.209206046;0.808529946;0.961580681;0.808529946;0.961580681;0.160263447;0.139745917;0.434482026;0.439143002;0.088475499;0.094401756;0.009687034;0.013164431;0.735027223;0.736553238;0.033083614;0.037847672;0.039473684;0.049945115;0.016641828;0.020615996
black.xlsx;3778;1354;2424;0.281225327;0.150190598;0.790251108;0.965346535;0.790251108;0.965346535;0.141089109;0.250369276;0.457585329;0.431169197;0.161004431;0.085808581;0.033086289;0.006617258;0.904726736;0.681930693;0.068682011;0.034019634;0.086410635;0.047854785;0.054261514;0.019057702
asian.xlsx;1643;944;699;0.13048726;0.36095392;0.8029661;0.97567954;0.8029661;0.97567954;0.25751073;0.22351695;0.45197384;0.45582386;0.13877119;0.17453505;0.02434571;0.01399878;0.87817797;0.87982833;0.04578625;0.07633898;0.0720339;0.0944206;0.03651856;0.06390749
hispanic.xlsx;1553;874;679;0.11781713;0.21284718;0.85926773;0.96170839;0.85926773;0.96170839;0.23913043;0.2916053;0.45460953;0.45882009;0.15446224;0.19145803;0.01996137;0.02318094;0.89359268;0.87481591;0.05033175;0.09199511;0.06521739;0.11634757;0.03155184;0.06310367
unstable.xlsx;694;169;525;0.2804773;0.07237928;0.76923077;0.94285714;0.76923077;0.94285714;0.12571429;0.3964497;0.47855514;0.42286559;0.31952663;0.04761905;0.05043228;0.0;0.9704142;0.67047619;0.0877459;0.01605386;0.10650888;0.03428571;0.07925072;0.01440922
stable.xlsx;10306;5207;5099;0.19884454;0.23820427;0.87439985;0.99156697;0.87439985;0.99156697;0.18297705;0.18225466;0.4468335;0.44296038;0.11926253;0.11590508;0.02804192;0.02066757;0.81697715;0.76622867;0.04934971;0.05930378;0.06817745;0.07275936;0.03454298;0.03871531
whiteFem.xlsx;2375;1383;992;0.133783125;0.214978397;0.749819234;0.828629032;0.749819234;0.828629032;0.130151844;0.178427419;0.429657296;0.444464603;0.083152567;0.119959677;0.003368421;0.015157895;0.690527838;0.796370968;0.028874016;0.035504921;0.030368764;0.04233871;0.014736842;0.018105263
whiteMale.xlsx;1651;821;830;0.219045524;0.077061079;0.719853837;0.646987952;0.719853837;0.646987952;0.134939759;0.136419001;0.435092741;0.436131399;0.075517661;0.08313253;0.007874016;0.01211387;0.734470158;0.775903614;0.029363379;0.026035672;0.029232643;0.03253012;0.018776499;0.015142338
asianFem.xlsx;934;527;407;0.12967592;0.26036052;0.88994307;0.85749386;0.88994307;0.85749386;0.28501229;0.25237192;0.45470336;0.46322246;0.14611006;0.20638821;0.01498929;0.01820128;0.89184061;0.93857494;0.05484251;0.06422761;0.0626186;0.07862408;0.03104925;0.05246253
asianMale.xlsx;709;417;292;0.114803827;0.12037187;0.39088729;0.380136986;0.39088729;0.380136986;0.136986301;0.107913669;0.426241208;0.438618556;0.064748201;0.082191781;0.001410437;0.005641749;0.741007194;0.770547945;0.007270715;0.032831755;0.021582734;0.037671233;0.002820874;0.014104372
blackFem.xlsx;1871;1076;795;0.17183667;0.19729653;0.73698885;0.85031447;0.73698885;0.85031447;0.2918239;0.21840149;0.45121202;0.46390389;0.12081784;0.20754717;0.01763763;0.02030999;0.87918216;0.91320755;0.04979405;0.06667234;0.06598513;0.08553459;0.03046499;0.06092998
blackMale.xlsx;1907;278;1629;0.3312404916;0.01981395;0.7122302158;0.7231430325;0.7122302158;0.7231430325;0.0325352977;0.190647482;0.4464093524;0.3937978655;0.1438848921;0.0128913444;0.0083901416;0.0020975354;0.8381294964;0.3585021486;0.0568594284;0.0050436714;0.0683453237;0.0061387354;0.0372312533;0.0005243838
